"a1";"b0";"b1";"b2"
5.16247080758068e-06;4.64365464387259e-07;6.0820650263687e-08;2.26766771542042e-07
4.64365464387259e-07;3.13537647137294e-05;2.49998411926524e-05;8.67175513458594e-05
6.0820650263687e-08;2.49998411926524e-05;0.0535998906905525;0.0739322915066723
2.26766771542042e-07;8.67175513458594e-05;0.0739322915066723;0.156214994514965
