"a1";"b0";"b1";"b2";"b3";"b4"
2.18045623891066e-07;-3.08074915163793e-08;-1.76516302166518e-08;2.3763977324969e-08;5.01160117116744e-10;2.58874901058433e-09
-3.08074915163793e-08;4.74095020374724e-05;-9.64750823888573e-06;1.50459427601025e-06;-3.84147046566145e-08;-1.96756548127506e-06
-1.76516302166518e-08;-9.64750823888573e-06;1.73310717849757e-05;-2.33473933337323e-06;9.43925569099372e-10;-8.08560377482589e-08
2.3763977324969e-08;1.50459427601025e-06;-2.33473933337323e-06;3.67021718334808e-07;-2.68233563040954e-11;7.53172555061544e-09
5.01160117116744e-10;-3.84147046566145e-08;9.43925569099372e-10;-2.68233563040954e-11;1.22350286911394e-09;-1.29061172468193e-08
2.58874901058433e-09;-1.96756548127506e-06;-8.08560377482589e-08;7.53172555061544e-09;-1.29061172468193e-08;2.84840130947913e-07
