Veg_Pot,Annee,PlacetteID,origTreeID,Espece,Etat,Nombre,DHPcm,Type_Eco,reg_eco,Altitude,PTot,TMoy,Cl_Drai,hauteur_pred,milieu,sdom_bio,GrEspece,vol_dm3
FE1,2025,FE12,2,OSV,vivant,1,15,FE12,3c,250,1312,2,30,15.3206895170879,2,3E,OSV,94.8550990440143
FE1,2035,FE12,2,OSV,vivant,0.843620676982661,18.1,FE12,3c,250,1312,2,30,16.4836118551778,2,3E,OSV,159.626629906023
FE1,2045,FE12,2,OSV,vivant,0.711695846632684,20.8,FE12,3c,250,1312,2,30,17.3727748078315,2,3E,OSV,229.090144902005
FE1,2055,FE12,2,OSV,vivant,0.600401331942013,23,FE12,3c,250,1312,2,30,18.030558861546,2,3E,OSV,295.136154113615
FE1,2035,FE12,3,ERS,vivant,4.11006824647587,11.6922891205546,FE12,3c,250,1312,2,30,12.0976365070642,2,3E,ERS,36.4741551745848
FE1,2045,FE12,3,ERS,vivant,3.61926004136285,15.7922891205546,FE12,3c,250,1312,2,30,13.7288432720327,2,3E,ERS,95.8741144556753
FE1,2055,FE12,3,ERS,vivant,3.18706222414615,19.2922891205546,FE12,3c,250,1312,2,30,14.7737705818906,2,3E,ERS,164.055455895252
FE1,2035,FE12,4,,vivant,6.5583670432474,11.6544510074707,FE12,3c,250,1312,2,30,13.1074645306732,2,3E,F0R,41.5762077346606
FE1,2045,FE12,4,,vivant,5.40479567719273,15.4544510074707,FE12,3c,250,1312,2,30,14.6066227382956,2,3E,F0R,101.609789582154
FE1,2055,FE12,4,,vivant,4.45412952943495,18.6544510074707,FE12,3c,250,1312,2,30,15.5916157265619,2,3E,F0R,168.174101174207
FE1,2035,FE12,5,,vivant,6.44316337626663,11.4527711605795,FE12,3c,250,1312,2,30,14.059994176775,2,3E,F_1,44.1828079358559
FE1,2045,FE12,5,,vivant,4.40176124157934,16.5527711605795,FE12,3c,250,1312,2,30,16.6778404898374,2,3E,F_1,142.028588701027
FE1,2055,FE12,5,,vivant,3.00714119701507,21.0527711605795,FE12,3c,250,1312,2,30,18.3400902493933,2,3E,F_1,267.385567293957
FE1,2035,FE12,6,OSV,vivant,2.82149273827228,10.0977491416826,FE12,3c,250,1312,2,30,13.0200211309218,2,3E,OSV,22.1941710314463
FE1,2045,FE12,6,OSV,vivant,2.38026961396292,12.4977491416826,FE12,3c,250,1312,2,30,14.2341707428006,2,3E,OSV,53.4950111830985
FE1,2055,FE12,6,OSV,vivant,2.00804466313266,14.4977491416826,FE12,3c,250,1312,2,30,15.1146697990496,2,3E,OSV,85.7976343355584
FE1,2045,FE12,7,ERS,vivant,3.03934433335304,11.3992122550652,FE12,3c,250,1312,2,30,11.9593647943476,2,3E,ERS,33.0413978769568
FE1,2055,FE12,7,ERS,vivant,2.67639777200275,14.7992122550652,FE12,3c,250,1312,2,30,13.3797945056768,2,3E,ERS,79.4938559571624
FE1,2045,FE12,8,,vivant,5.02926922451236,11.3656520118728,FE12,3c,250,1312,2,30,12.9745514336519,2,3E,F0R,37.8157880760489
FE1,2055,FE12,8,,vivant,4.14465558039635,14.4656520118728,FE12,3c,250,1312,2,30,14.2560594668235,2,3E,F0R,84.049742932347
FE1,2045,FE12,9,,vivant,3.91696693306816,11.1867735172268,FE12,3c,250,1312,2,30,13.8945956207633,2,3E,F_1,40.3056238531923
FE1,2055,FE12,9,,vivant,2.67594537398144,15.4867735172268,FE12,3c,250,1312,2,30,16.2058173624512,2,3E,F_1,117.774786783136
FE1,2045,FE12,10,OSV,vivant,2.44897901701819,9.98494644977974,FE12,3c,250,1312,2,30,12.9577398894904,2,3E,OSV,20.9091516819939
FE1,2055,FE12,10,OSV,vivant,2.06600933625322,11.8849464497797,FE12,3c,250,1312,2,30,13.9424744631453,2,3E,OSV,44.7583047616048
FE1,2055,FE12,11,ERS,vivant,1.95955632952598,11.1092523205085,FE12,3c,250,1312,2,30,11.8191979762612,2,3E,ERS,29.7477943954231
FE1,2055,FE12,12,,vivant,3.46689380542333,11.0799244512078,FE12,3c,250,1312,2,30,12.8399099875234,2,3E,F0R,34.2018718355845
FE1,2055,FE12,13,,vivant,1.89266621877466,10.923604811877,FE12,3c,250,1312,2,30,13.7275364405179,2,3E,F_1,36.583539893504
FE1,2055,FE12,14,OSV,vivant,1.92648416100064,9.87334343700916,FE12,3c,250,1312,2,30,12.8955951777195,2,3E,OSV,19.6533768721501
FE2,2025,FE22,1,BOJ,vivant,1,15,FE22,3c,250,1312,2,30,15.5576147546322,2,3E,BOJ,100.532628098218
FE2,2035,FE22,1,BOJ,vivant,0.890465657269315,19.5,FE22,3c,250,1312,2,30,17.0995405103025,2,3E,BOJ,203.533553158635
FE2,2045,FE22,1,BOJ,vivant,0.790916561624278,23.3,FE22,3c,250,1312,2,30,18.1231907250138,2,3E,BOJ,316.770064478695
FE2,2055,FE22,1,BOJ,vivant,0.700383297909506,26.6,FE22,3c,250,1312,2,30,18.8594687666914,2,3E,BOJ,435.160732354475
FE2,2025,FE22,2,BOP,vivant,1,15,FE22,3c,250,1312,2,30,17.4654149746951,2,3E,BOP,116.758099497771
FE2,2035,FE22,2,BOP,vivant,0.810890148130845,18.8,FE22,3c,250,1312,2,30,19.0733085377101,2,3E,BOP,216.019833295232
FE2,2045,FE22,2,BOP,vivant,0.645094535344414,21.9,FE22,3c,250,1312,2,30,20.1569090218242,2,3E,BOP,318.339863285405
