"a1";"b1";"b2";"b3";"b4";"b5";"b6";"b7";"b0.(Intercept)";"b0.group.vegMJ2";"b0.group.vegMS1-MS2-RS1";"b0.group.vegMS4";"b0.group.sDomBioouest"
4.76355011287434e-07;-1.32684897916144e-07;-7.78419298380344e-09;-9.47466354661635e-08;-3.64426561015649e-11;-3.2395948395156e-08;-6.06575538183617e-13;1.17457762687576e-10;-6.54925004012144e-08;-2.7347623651356e-10;-2.75313606354368e-10;4.98385094374671e-09;-1.58879732797292e-09
-1.32684897916144e-07;0.024519954758928;0.000508423332436033;0.0162790566426602;2.63526248898314e-06;0.0107363302873657;-1.58619414920633e-07;1.09750180423907e-05;-0.0435964793582902;-6.4981190908812e-05;-7.7627195103304e-05;-0.00130258614578595;0.000129110741594904
-7.78419298380344e-09;0.000508423332436033;8.60355768703872e-05;0.000456251998313046;6.35538510934466e-08;0.000120616550212801;-3.81243025290499e-09;2.62479010185458e-07;-0.00102959387691636;-1.48707199669856e-06;-1.95162386466447e-06;-3.05318540062568e-05;2.98764403346038e-06
-9.47466354661635e-08;0.0162790566426602;0.000456251998313046;0.01099961439553;1.76366227722172e-06;0.00695272140840389;-1.06074983372249e-07;7.33930690052303e-06;-0.029147019514774;-4.3339578150866e-05;-5.20313029702353e-05;-0.000870104319259824;8.61968498807109e-05
-3.64426561015649e-11;2.63526248898314e-06;6.35538510934466e-08;1.76366227722172e-06;1.65979814592372e-09;1.13847993847805e-06;6.74777620978779e-11;-4.56512944725429e-10;-5.15628655195713e-06;-1.08123023845805e-08;1.67494384614509e-09;-6.54316947002965e-08;2.72876878033674e-09
-3.2395948395156e-08;0.0107363302873657;0.000120616550212801;0.00695272140840389;1.13847993847805e-06;0.00492562668548409;-6.83271824228963e-08;4.74256912362357e-06;-0.0189076436455034;-2.82129135074444e-05;-3.30920600493262e-05;-0.000564587338008064;5.62008595432018e-05
-6.06575538183617e-13;-1.58619414920633e-07;-3.81243025290499e-09;-1.06074983372249e-07;6.74777620978779e-11;-6.83271824228963e-08;6.17099636086654e-11;-1.60330097648429e-09;2.39934681302995e-07;-1.20386591108633e-09;-1.1240676686456e-08;1.45588890316664e-08;9.19171730803813e-09
1.17457762687576e-10;1.09750180423907e-05;2.62479010185458e-07;7.33930690052303e-06;-4.56512944725429e-10;4.74256912362357e-06;-1.60330097648429e-09;1.67816523207878e-07;-2.2526993710253e-05;-1.40899072569328e-07;-1.61493131026403e-07;-4.9391845745051e-07;5.05876753842215e-07
-6.54925004012144e-08;-0.0435964793582902;-0.00102959387691636;-0.029147019514774;-5.15628655195713e-06;-0.0189076436455034;2.39934681302995e-07;-2.2526993710253e-05;0.078056180708049;8.1367284824064e-05;0.000107653506134679;0.00223970693343821;-0.000265450513328185
-2.7347623651356e-10;-6.4981190908812e-05;-1.48707199669856e-06;-4.3339578150866e-05;-1.08123023845805e-08;-2.82129135074444e-05;-1.20386591108633e-09;-1.40899072569328e-07;8.1367284824064e-05;7.73433491377622e-05;4.38592392576169e-05;4.37205747653307e-05;-6.96083789232567e-06
-2.75313606354368e-10;-7.7627195103304e-05;-1.95162386466447e-06;-5.20313029702353e-05;1.67494384614509e-09;-3.30920600493262e-05;-1.1240676686456e-08;-1.61493131026403e-07;0.000107653506134679;4.38592392576169e-05;5.99607690014575e-05;4.79963671483703e-05;-2.94211421034054e-06
4.98385094374671e-09;-0.00130258614578595;-3.05318540062568e-05;-0.000870104319259824;-6.54316947002965e-08;-0.000564587338008064;1.45588890316664e-08;-4.9391845745051e-07;0.00223970693343821;4.37205747653307e-05;4.79963671483703e-05;0.000522004566264999;8.01206028208397e-06
-1.58879732797292e-09;0.000129110741594904;2.98764403346038e-06;8.61968498807109e-05;2.72876878033674e-09;5.62008595432018e-05;9.19171730803813e-09;5.05876753842215e-07;-0.000265450513328185;-6.96083789232567e-06;-2.94211421034054e-06;8.01206028208397e-06;3.76448547465779e-05
