x;Effects
0.917608834;pente
6.404591123;Intercept
-2.070241538;CoreExpression
-0.413241774;LogCoreExpression
-1.803947429;ExpSectionRelativeHeight
-1.214685165;SectionRelativeHeight_x_CoreExpression
-5.71E-05;DbhOB
-0.009865188;Height
