x;Effects
0.920624735;pente
4.530602052;Intercept
-1.33077918;CoreExpression
-0.190717914;LogCoreExpression
-0.887847573;ExpSectionRelativeHeight
0.000133825;DbhOB
-1.538483661;SectionRelativeHeight_x_CoreExpression
