x;Effects
0.884389303;pente
9.258814287;Intercept
-3.832663014;CoreExpression
-0.547756728;LogCoreExpression
-2.952382611;ExpSectionRelativeHeight
-2.603359847;SectionRelativeHeight_x_CoreExpression
