Equation;Row;Effect;ClasseIntercept;Qualite;vp;Transition;Sdom;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9
1;1;Intercept;A;;;;;0.3178552008413040000;-0.0301329873970094000;-0.0143390706799368000;-0.0011524971419210300;-0.0002475653020066780;0.0000000000000000000;0.0000000000000000000;0.0000000000000000000;0.0000000000000000000
1;2;DDhpcm;;;;;;-0.0301329873970094000;0.1302845393848470000;0.0021747527047899300;0.0004519423169783250;-0.0000091897010564220;0.0000000000000000000;0.0000000000000000000;0.0000000000000000000;0.0000000000000000000
1;3;Qualite;;C;;;;-0.0143390706799368000;0.0021747527047899300;0.0102140768333932000;0.0000105042017253327;0.0000066975194851735;0.0000000000000000000;0.0000000000000000000;0.0000000000000000000;0.0000000000000000000
1;4;Ptot;;;;;;-0.0011524971419210300;0.0004519423169783250;0.0000105042017253327;0.0000473623020948661;-0.0000000807454529840;0.0000000000000000000;0.0000000000000000000;0.0000000000000000000;0.0000000000000000000
1;5;sum_st_ha;;;;;;-0.0002475653020066780;-0.0000091897010564220;0.0000066975194851735;-0.0000000807454529840;0.0000002247139837318;0.0000000000000000000;0.0000000000000000000;0.0000000000000000000;0.0000000000000000000
2;6;Intercept;A;;;;;0.0591253775172971000;0.0423031669792714000;-0.0693559419699790000;-0.0446311509295569000;-0.0372352869359654000;-0.0052460388989094100;0.0013293714125892600;0.0000000000000000000;0.0000000000000000000
2;7;Intercept;B;;;;;0.0423031669792714000;0.0413255423821611000;-0.0637785185474020000;-0.0279718943316540000;-0.0251993076387727000;-0.0045772162911052300;0.0025226535837877600;0.0000000000000000000;0.0000000000000000000
2;8;DDhpcm;;;;;;-0.0693559419699790000;-0.0637785185474020000;0.2694051546070980000;0.0113695417516201000;0.0013461053610671000;0.0015694098021893500;-0.0117769273706374000;0.0000000000000000000;0.0000000000000000000
2;9;Qualite;;B;;;;-0.0446311509295569000;-0.0279718943316540000;0.0113695417516201000;0.0690656574701590000;0.0369157831555691000;0.0007578713693051700;0.0055247451963764100;0.0000000000000000000;0.0000000000000000000
2;10;Qualite;;C;;;;-0.0372352869359654000;-0.0251993076387727000;0.0013461053610671000;0.0369157831555691000;0.0390839777898687000;0.0004986603028814340;0.0002174778785329170;0.0000000000000000000;0.0000000000000000000
2;11;Coupe0;;;;;;-0.0052460388989094100;-0.0045772162911052300;0.0015694098021893500;0.0007578713693051700;0.0004986603028814340;0.0184327867687088000;-0.0003755709235629080;0.0000000000000000000;0.0000000000000000000
2;12;Transition;;;;1;;0.0013293714125892600;0.0025226535837877600;-0.0117769273706374000;0.0055247451963764100;0.0002174778785329170;-0.0003755709235629080;0.0047946461120105100;0.0000000000000000000;0.0000000000000000000
3;13;Intercept;A;;;;;0.1592956617234550000;0.1546482235784390000;0.1488516812206660000;-0.0021071476516752400;-0.0400994770431287000;-0.0213130236252377000;-0.0275095619488645000;-0.0222823290055584000;-0.0074407852705438300
3;14;Intercept;B;;;;;0.1546482235784390000;0.1559217509986760000;0.1497615789068720000;-0.0021495185081563200;-0.0391523360350152000;-0.0163722484222436000;-0.0251694988432660000;-0.0220915268808857000;-0.0072531015906520900
3;15;Intercept;C;;;;;0.1488516812206660000;0.1497615789068720000;0.1522747383703530000;-0.0022225240399960700;-0.0376083806393561000;-0.0082677826366531700;-0.0178793928135092000;-0.0180544471657658000;-0.0070199691322093600
3;16;Dhpcm;;;;;;-0.0021071476516752400;-0.0021495185081563200;-0.0022225240399960700;0.0000491593012536806;0.0003421773496200730;-0.0003033456779455980;-0.0000402565621599910;-0.0000373146354181200;-0.0000069095798279890
3;17;DDhpcm;;;;;;-0.0400994770431287000;-0.0391523360350152000;-0.0376083806393561000;0.0003421773496200730;0.0920261052736140000;0.0037938148667777500;0.0006444541083785440;-0.0017864524293471400;-0.0006214204395069080
3;18;Qualite;;A;;;;-0.0213130236252377000;-0.0163722484222436000;-0.0082677826366531700;-0.0003033456779455980;0.0037938148667777500;0.0464641557725848000;0.0284462635158452000;0.0235019237791774000;0.0004360311258564940
3;19;Qualite;;B;;;;-0.0275095619488645000;-0.0251694988432660000;-0.0178793928135092000;-0.0000402565621599910;0.0006444541083785440;0.0284462635158452000;0.0334301479144354000;0.0230715464378115000;0.0001307762468855630
3;20;Qualite;;C;;;;-0.0222823290055584000;-0.0220915268808857000;-0.0180544471657658000;-0.0000373146354181200;-0.0017864524293471400;0.0235019237791774000;0.0230715464378115000;0.0277660096451007000;0.0002656062386197410
3;21;Tmoy;;;;;;-0.0074407852705438300;-0.0072531015906520900;-0.0070199691322093600;-0.0000069095798279890;-0.0006214204395069080;0.0004360311258564940;0.0001307762468855630;0.0002656062386197410;0.0020888273051311800
