Equation;Row;Variable;Intercept;PrioRecolte;vp;Sdom;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col13;Col14;Col15;Col16;Col17;Col18;Col19
2;34;sum_st_ha*PRIORECOL;;S;;;0.000487;0.000489;-0.00048;-0.00048;-0.00146;0.00000815;-0.00000622;-0.00000322;-0.000000459;-0.00000547;0.000019;-0.00002;0.000021;0.000021;0.000064;0;0;0;0
3;35;Intercept;A;;;;0.307553895;0.307305745;0.307875908;-0.127155753;-0.140507331;-0.134202587;-0.003118672;-9.27198E-05;-0.000167769;0.002813323;0.003133004;0.002981963;0;0;0;0;0;0;0
3;36;Intercept;B;;;;0.307305745;0.308170396;0.308607532;-0.127400615;-0.140639815;-0.134081885;-0.003125195;-8.87691E-05;-0.000168123;0.00282751;0.003148007;0.002984513;0;0;0;0;0;0;0
3;37;Intercept;C;;;;0.307875908;0.308607532;0.310736979;-0.12781431;-0.140970868;-0.134309815;-0.00314077;-8.35866E-05;-0.000168636;0.002845954;0.003165857;0.002996591;0;0;0;0;0;0;0
3;38;PRIORECOL;;C;;;-0.127155753;-0.127400615;-0.12781431;1.290463603;0.136853466;0.137175109;0.003015554;-3.34998E-05;-8.88591E-06;-0.029439729;-0.0030168;-0.003022032;0;0;0;0;0;0;0
3;39;PRIORECOL;;R;;;-0.140507331;-0.140639815;-0.140970868;0.136853466;1.221914943;0.137198821;0.003025916;-6.33742E-05;4.90131E-06;-0.003016999;-0.028264272;-0.003023222;0;0;0;0;0;0;0
3;40;PRIORECOL;;S;;;-0.134202587;-0.134081885;-0.134309815;0.137175109;0.137198821;0.584299209;0.003022436;-9.49325E-05;-8.79173E-07;-0.003020839;-0.00301945;-0.013118502;0;0;0;0;0;0;0
3;41;dhpcm;;;;;-0.003118672;-0.003125195;-0.00314077;0.003015554;0.003025916;0.003022436;6.7706E-05;-1.58367E-06;1.37311E-07;-6.75031E-05;-6.77592E-05;-6.75986E-05;0;0;0;0;0;0;0
3;42;sum_st_ha;;;;;-9.27198E-05;-8.87691E-05;-8.35866E-05;-3.34998E-05;-6.33742E-05;-9.49325E-05;-1.58367E-06;1.4995E-05;-1.93564E-07;8.12537E-07;1.25763E-06;1.97675E-06;0;0;0;0;0;0;0
3;43;ptot;;;;;-0.000167769;-0.000168123;-0.000168636;-8.88591E-06;4.90131E-06;-8.79173E-07;1.37311E-07;-1.93564E-07;1.70539E-07;1.77342E-07;-1.49213E-07;-7.22697E-09;0;0;0;0;0;0;0
3;44;dhpcm*PRIORECOL;;C;;;0.002813323;0.00282751;0.002845954;-0.029439729;-0.003016999;-0.003020839;-6.75031E-05;8.12537E-07;1.77342E-07;0.000677692;6.76186E-05;6.75805E-05;0;0;0;0;0;0;0
3;45;dhpcm*PRIORECOL;;R;;;0.003133004;0.003148007;0.003165857;-0.0030168;-0.028264272;-0.00301945;-6.77592E-05;1.25763E-06;-1.49213E-07;6.76186E-05;0.000658747;6.75934E-05;0;0;0;0;0;0;0
3;46;dhpcm*PRIORECOL;;S;;;0.002981963;0.002984513;0.002996591;-0.003022032;-0.003023222;-0.013118502;-6.75986E-05;1.97675E-06;-7.22697E-09;6.75805E-05;6.75934E-05;0.000297858;0;0;0;0;0;0;0
