Equation;Row;Effect;Intercept;PrioRecolte;vp;Sdom;Col1;Col2;Col3;Col4;Col5;Col6;Col7;Col8;Col9;Col10;Col11;Col12;Col13;Col14;Col15;Col16;Col17;Col18
1;1;Intercept;A;;;;0.06476600000000000000;-0.00217000000000000000;-0.00297000000000000000;-0.00187000000000000000;-0.00142000000000000000;-0.02017000000000000000;-0.01885000000000000000;-0.01958000000000000000;-0.01941000000000000000;-0.01919000000000000000;-0.01913000000000000000;-0.01924000000000000000;-0.01947000000000000000;-0.00018000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000
1;2;PRIORECOL;;C;;;-0.00217000000000000000;0.00287600000000000000;0.00139000000000000000;0.00135100000000000000;0.00002900000000000000;-0.00009000000000000000;-0.00004000000000000000;-0.00004000000000000000;0.00003000000000000000;0.00008900000000000000;-0.00013000000000000000;0.00002400000000000000;-0.00023000000000000000;-0.00000019500000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000
1;3;PRIORECOL;;R;;;-0.00297000000000000000;0.00139000000000000000;0.00326700000000000000;0.00136200000000000000;0.00005200000000000000;0.00018900000000000000;0.00021700000000000000;0.00012800000000000000;0.00029800000000000000;0.00020400000000000000;-0.00002000000000000000;0.00016300000000000000;-0.00011000000000000000;0.00000088500000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000
1;4;PRIORECOL;;S;;;-0.00187000000000000000;0.00135100000000000000;0.00136200000000000000;0.00358900000000000000;0.00001700000000000000;-0.00005000000000000000;0.00006900000000000000;0.00001100000000000000;0.00015600000000000000;0.00009200000000000000;0.00006100000000000000;0.00007700000000000000;0.00001100000000000000;-0.00000090500000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000
1;6;dhpcm;;;;;-0.00142000000000000000;0.00002900000000000000;0.00005200000000000000;0.00001700000000000000;0.00005000000000000000;0.00007100000000000000;0.00003100000000000000;0.00003400000000000000;0.00002300000000000000;0.00001800000000000000;0.00001600000000000000;0.00000992000000000000;0.00002300000000000000;0.00000027500000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000
1;7;Sdom;;;;1;-0.02017000000000000000;-0.00009000000000000000;0.00018900000000000000;-0.00005000000000000000;0.00007100000000000000;0.18839700000000000000;0.01926200000000000000;0.01911400000000000000;0.01908700000000000000;0.01908400000000000000;0.01905600000000000000;0.01901000000000000000;0.01902900000000000000;-0.00004000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000
1;8;Sdom;;;;2EST;-0.01885000000000000000;-0.00004000000000000000;0.00021700000000000000;0.00006900000000000000;0.00003100000000000000;0.01926200000000000000;0.03646900000000000000;0.01910900000000000000;0.01909400000000000000;0.01909700000000000000;0.01906000000000000000;0.01901000000000000000;0.01901200000000000000;-0.00005000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000
1;9;Sdom;;;;2OUEST;-0.01958000000000000000;-0.00004000000000000000;0.00012800000000000000;0.00001100000000000000;0.00003400000000000000;0.01911400000000000000;0.01910900000000000000;0.05968300000000000000;0.01902900000000000000;0.01902600000000000000;0.01901200000000000000;0.01899100000000000000;0.01899900000000000000;-0.00002000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000
1;10;Sdom;;;;3EST;-0.01941000000000000000;0.00003000000000000000;0.00029800000000000000;0.00015600000000000000;0.00002300000000000000;0.01908700000000000000;0.01909400000000000000;0.01902900000000000000;0.02249600000000000000;0.01902500000000000000;0.01900400000000000000;0.01899700000000000000;0.01898700000000000000;-0.00001000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000
1;11;Sdom;;;;3OUEST;-0.01919000000000000000;0.00008900000000000000;0.00020400000000000000;0.00009200000000000000;0.00001800000000000000;0.01908400000000000000;0.01909700000000000000;0.01902600000000000000;0.01902500000000000000;0.02076800000000000000;0.01900000000000000000;0.01899000000000000000;0.01897900000000000000;-0.00002000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000
1;12;Sdom;;;;4EST;-0.01913000000000000000;-0.00013000000000000000;-0.00002000000000000000;0.00006100000000000000;0.00001600000000000000;0.01905600000000000000;0.01906000000000000000;0.01901200000000000000;0.01900400000000000000;0.01900000000000000000;0.02105400000000000000;0.01898100000000000000;0.01900000000000000000;-0.00001000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000
1;13;Sdom;;;;4OUEST;-0.01924000000000000000;0.00002400000000000000;0.00016300000000000000;0.00007700000000000000;0.00000992000000000000;0.01901000000000000000;0.01901000000000000000;0.01899100000000000000;0.01899700000000000000;0.01899000000000000000;0.01898100000000000000;0.02029700000000000000;0.01897500000000000000;-0.00000340000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000
1;14;Sdom;;;;5EST;-0.01947000000000000000;-0.00023000000000000000;-0.00011000000000000000;0.00001100000000000000;0.00002300000000000000;0.01902900000000000000;0.01901200000000000000;0.01899900000000000000;0.01898700000000000000;0.01897900000000000000;0.01900000000000000000;0.01897500000000000000;0.02571100000000000000;-0.00000361000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000
1;16;sum_st_ha;;;;;-0.00018000000000000000;-0.00000019500000000000;0.00000088500000000000;-0.00000090500000000000;0.00000027500000000000;-0.00004000000000000000;-0.00005000000000000000;-0.00002000000000000000;-0.00001000000000000000;-0.00002000000000000000;-0.00001000000000000000;-0.00000340000000000000;-0.00000361000000000000;0.00000796000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000
2;18;Intercept;A;;;;0.18375177629298800000;0.18277037222369300000;-0.00277937611757251000;-0.00350919052553597000;-0.00190432102452407000;-0.00462592106475699000;0.00748538270548792000;0.01208030439213320000;-0.00124468935572575000;0.00047179153796749000;-0.00378850036575337000;-0.00467256213606425000;-0.00582696866923793000;-0.00013792917594921600;-0.00364665415914580000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000
2;20;Intercept;B;;;;0.18277037222369300000;0.18268691112278700000;-0.00236625432578872000;-0.00298928565597715000;-0.00161393745867366000;-0.00461831276358077000;0.00748570687349424000;0.01199562409048650000;-0.00121936617788404000;0.00051882567490939600;-0.00378480214057623000;-0.00463607032494248000;-0.00587377075727321000;-0.00013524358973619100;-0.00362393670206014000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000
2;22;PRIORECOL;;C;;;-0.00277937611757251000;-0.00236625432578872000;0.00291844731371262000;0.00164026609023044000;0.00152576673731998000;0.00002846543405405380;-0.00009634606211783400;-0.00004219761036428500;0.00002867364542471950;0.00008492374652522090;-0.00007798999859044300;0.00009213096357786760;-0.00009947337302644200;0.00000055836858429690;0.00002160012842394000;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000
2;24;PRIORECOL;;R;;;-0.00350919052553597000;-0.00298928565597715000;0.00164026609023044000;0.00270810384096778000;0.00155923170664177000;0.00004490459607498850;-0.00003287729275595000;-0.00017431008636236000;0.00009589776815262600;0.00010964434595412800;-0.00007286212503882100;0.00008560058490695050;-0.00006802791210641900;0.00000394383949922590;0.00001334033537918050;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000
2;26;PRIORECOL;;S;;;-0.00190432102452407000;-0.00161393745867366000;0.00152576673731998000;0.00155923170664177000;0.00367070889699068000;0.00001325234705412860;0.00006469456742791460;0.00005361430423748600;0.00001005566962642560;0.00005354923891992110;-0.00009512587000176400;0.00001841783188140950;-0.00012111518420894100;-0.00000238222353840600;-0.00003271496761218900;0.00000000000000000000;0.00000000000000000000;0.00000000000000000000
