"a1";"b1";"b2";"b3";"b4";"b5";"b6";"b0.(Intercept)";"b0.group.vegRE1";"b0.group.sDomBio6ouest"
2.55406842446676e-06;-1.08587747232902e-05;-1.14277383894586e-06;-8.57085939781822e-06;-2.92845365411613e-06;3.75306183593983e-10;-3.41379766077678e-08;2.19766896936477e-05;-5.74783804080327e-08;-1.48862180641149e-07
-1.08587747232902e-05;0.0444402621425824;0.0017048364456088;0.0307629918668951;0.0187363382479366;3.14620359941497e-07;0.000185356313556508;-0.082305474796345;-0.000537135195361871;-4.2964743476966e-05
-1.14277383894586e-06;0.0017048364456088;0.000487702426696188;0.00178097666765253;0.000342492950630601;1.47912326054162e-08;8.80846964278997e-06;-0.00382004478616828;-2.44655197623908e-05;-1.96834129649263e-06
-8.57085939781822e-06;0.0307629918668951;0.00178097666765253;0.0221620571540612;0.0123982015374647;2.21645052233481e-07;0.000130693298473278;-0.0579288086396825;-0.000377255490459015;-3.01682629706008e-05
-2.92845365411613e-06;0.0187363382479366;0.000342492950630601;0.0123982015374647;0.00839888362781184;1.29962575514412e-07;7.65911553781193e-05;-0.0340759746052397;-0.000223185188778738;-1.77339858988923e-05
3.75306183593983e-10;3.14620359941497e-07;1.47912326054162e-08;2.21645052233481e-07;1.29962575514412e-07;5.20581240266165e-10;-4.17281289313348e-09;-6.16327371155214e-07;-1.07271898644646e-08;1.53778109193398e-08
-3.41379766077678e-08;0.000185356313556508;8.80846964278997e-06;0.000130693298473278;7.65911553781193e-05;-4.17281289313348e-09;1.12050620261133e-06;-0.000350749353343617;-9.91726236253654e-07;1.17219361452695e-07
2.19766896936477e-05;-0.082305474796345;-0.00382004478616828;-0.0579288086396825;-0.0340759746052397;-6.16327371155214e-07;-0.000350749353343617;0.153588921823308;0.00097934153444912;6.196000976295e-05
-5.74783804080327e-08;-0.000537135195361871;-2.44655197623908e-05;-0.000377255490459015;-0.000223185188778738;-1.07271898644646e-08;-9.91726236253654e-07;0.00097934153444912;0.000170996277391873;-2.04548284854353e-05
-1.48862180641149e-07;-4.2964743476966e-05;-1.96834129649263e-06;-3.01682629706008e-05;-1.77339858988923e-05;1.53778109193398e-08;1.17219361452695e-07;6.196000976295e-05;-2.04548284854353e-05;3.26842822128369e-05
