"a1";"b0";"b1";"b2";"b3";"b4"
5.17616459860418e-07;1.84770139359211e-07;-4.27065662447372e-08;1.29191939302642e-08;4.14764526955452e-11;1.04862349064066e-09
1.84770139359211e-07;7.50042763073262e-05;-1.10618439458858e-05;1.75655785699237e-06;-5.62782223831625e-08;-3.04192154226957e-06
-4.27065662447372e-08;-1.10618439458858e-05;1.80577707784108e-05;-2.47789886194769e-06;2.50291166005317e-09;-5.19417681448397e-08
1.29191939302642e-08;1.75655785699237e-06;-2.47789886194769e-06;3.99306103064195e-07;-3.24440900384748e-10;3.66731675696731e-09
4.14764526955452e-11;-5.62782223831625e-08;2.50291166005317e-09;-3.24440900384748e-10;1.18738581610808e-09;-1.27284079100131e-08
1.04862349064066e-09;-3.04192154226957e-06;-5.19417681448397e-08;3.66731675696731e-09;-1.27284079100131e-08;3.49869453458506e-07
