SpeciesName;CA;CE;CJ_1997;CJ_2004CERF;CJ_2004;CJMSCRCERF;CJMSCR;CP;EC;ES;CP_35;CP_45;CPI_CP;CPI_RL;CRS;CJP;CJPG_QM;CPI_CP_CIMOTF;CPI_RL_CIMOTF
OSV;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;FEU;AUT;AUT;FEU;FEU;FEU;FEU
PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;FEU;FEU;AUT;AUT;PEU;FEU;PEU;PEU
PEB;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;FEU;FEU;AUT;AUT;PEU;FEU;PEU;PEU
PED;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;FEU;FEU;AUT;AUT;PEU;FEU;PEU;PEU
PEE;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;FEU;FEU;AUT;AUT;PEU;FEU;PEU;PEU
PEG;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;FEU;FEU;AUT;AUT;PEU;FEU;PEU;PEU
PEL;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;FEU;FEU;AUT;AUT;PEU;FEU;PEU;PEU
PET;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;FEU;FEU;AUT;AUT;PEU;FEU;PEU;PEU
PEH;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;PEU;FEU;FEU;AUT;AUT;PEU;FEU;PEU;PEU
PIB;PIN;PIN;PIN;PIN;PIN;PIN;PIN;PIN;PIN;PIN;RES;SAB;RES;AUT;AUT;RES;RES;RES;RES
PID;RES;RES;RES;RES;RES;RES;RES;RES;RES;RES;RES;SAB;RES;AUT;AUT;RES;RES;RES;RES
PIG;RES;RES;RES;RES;RES;RES;RES;RES;RES;RES;RES;SAB;RES;AUT;AUT;RES;RES;RES;RES
PIN;PIN;PIN;PIN;PIN;PIN;PIN;PIN;PIN;PIN;PIN;RES;SAB;RES;AUT;AUT;RES;RES;RES;RES
PIR;PIN;PIN;PIN;PIN;PIN;PIN;PIN;PIN;PIN;PIN;RES;SAB;RES;AUT;AUT;RES;RES;RES;RES
PIS;RES;RES;RES;RES;RES;RES;RES;RES;RES;RES;RES;SAB;RES;AUT;AUT;RES;RES;RES;RES
PLO;;;;;;;;;;;;;;;;;;;
PRP;;;;;;;;;;;;;;;;;;;
PRV;;;;;;;;;;;;;;;;;;;
PRU;RES;RES;RES;RES;RES;RES;RES;RES;RES;RES;RES;SAB;RES;AUT;AUT;RES;RES;RES;RES
